,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
375425,89752,52.74566493067,40.00106413891,236748943935106432,1.2711,8.471,-5.761,-6.211,14.611968,0.002765,15.007646,0.003108,14.042798,0.004026,13.783712,0.151437,0.964848,0.395678,0.56917,,5464.1,749.0783,0.954,0.76506615,0.876,12.215,0.5795841,G      
398265,12592,65.03625212524,19.93312354427,49013999279994240,3.0762,14.89,13.669,-5.907,13.633096,0.002759,14.2417,0.002841,12.882409,0.003799,12.592341,0.021149,1.359291,0.608604,0.750687,,5255.5,313.3386,0.8863,0.62455636,0.925,4.576,0.6020631,K      
180234,80234,250.44425609514,36.41706269672,1328056771865312512,0.0856,4.002,-3.033,-2.611,15.536536,0.002927,15.483031,0.006458,15.447812,0.006483,,,0.035219,-0.053505,0.088724,,11161.1,13474.282,3.5042,175.99545,3.27,0.232,0.47125512,B      
392022,6349,48.56845522859,12.71339539357,29414895276113408,1.2361,10.84,-0.446,-10.831,13.224604,0.002768,13.992426,0.003095,12.367553,0.003827,12.000553,0.016128,1.624873,0.767822,0.857051,,4901.4,694.6875,3.1478,6.548473,1.161,6.784,0.19394,K      
582577,96904,274.27723905595,-28.17335505863,4052142626910805248,0.3037,6.005,-0.801,-5.952,11.867618,0.002842,13.200507,0.004476,10.73189,0.004158,10.231578,0.019134,2.468617,1.33289,1.135728,,3742.1,3053.6477,59.1537,492.94016,1.922,1.343,0.01228965,M      
211753,26080,59.43217667872,26.14232840081,67235277775213056,0.9979,8.497,8.497,0.024,14.342521,0.002765,14.742723,0.002974,13.767237,0.003908,13.511439,0.0702,0.975487,0.400203,0.575284,,5676.1,1137.558,1.6056,1.7330554,0.967,11.888,0.3313617,F      
428879,43206,37.82391212687,31.95376624523,134061429846784768,0.1066,0.448,0.235,-0.381,15.048952,0.002781,15.706771,0.00382,14.268733,0.004193,13.77835,0.096211,1.438038,0.657819,0.780219,1.431,4716.0,2689.7996,4.5322,9.80878,1.081,8.993,0.13146181,K      
461572,75899,61.47580084702,33.93761354957,170891667766761984,0.235,0.388,0.322,-0.217,13.546682,0.002759,14.133043,0.002886,12.816596,0.003806,12.545775,0.028816,1.316447,0.586361,0.730086,,5134.7,5977.7915,17.0184,67.253334,2.697,0.503,0.12173373,K      
40803,40803,313.56717355137,35.41658098676,1869690076739970560,0.6947,0.832,0.39,-0.735,11.968996,0.002762,12.199929,0.00285,11.579453,0.003794,11.420547,0.013217,0.620476,0.230933,0.389543,,8026.6,1195.5673,3.1018,47.501244,2.318,0.673,0.44169435,A      
57697,57697,306.34036505348,33.79064890453,2056017891337376128,1.5153,1.536,0.452,-1.468,9.075407,0.002766,9.130377,0.002834,8.950931,0.003793,8.892924,0.006616,0.179446,0.05497,0.124476,,9062.4,670.4644,4.3639,112.06247,2.855,0.394,0.38699785,A      
